path	duration	peak	rms
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/open_002.mp3	0.392	0.4166	0.0820
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/open_003.mp3	0.392	0.5447	0.0921
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/open_004.mp3	0.392	0.4910	0.0658
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/pluck_001.mp3	0.183	0.7769	0.0638
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/pluck_002.mp3	0.235	0.8143	0.0617
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/question_001.mp3	0.575	0.6034	0.1605
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/question_002.mp3	0.392	0.6082	0.1960
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/question_003.mp3	0.418	0.5995	0.1889
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/question_004.mp3	0.392	0.6018	0.1960
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/scratch_001.mp3	0.235	0.6122	0.1182
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/scratch_002.mp3	0.235	0.5748	0.1295
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/scratch_003.mp3	0.183	0.4446	0.0529
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/scratch_004.mp3	0.418	0.5652	0.0540
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/scratch_005.mp3	0.418	0.6152	0.0987
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/scroll_001.mp3	1.097	0.7938	0.0477
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/scroll_002.mp3	1.071	0.6165	0.0514
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/scroll_003.mp3	1.071	0.6056	0.0507
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/scroll_004.mp3	1.071	0.6340	0.0619
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/scroll_005.mp3	1.097	0.6463	0.0779
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/select_001.mp3	0.131	0.7911	0.0689
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/select_002.mp3	0.131	0.8217	0.0847
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/select_003.mp3	0.444	0.6170	0.0695
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/select_004.mp3	0.444	0.6122	0.0648
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/select_005.mp3	0.444	0.5478	0.0693
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/select_006.mp3	2.011	0.6166	0.0496
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/select_007.mp3	0.131	0.7282	0.0815
